Pt,Pd,Au,Ir,Eta
0.056,0.5051,0.1957,0.2432,0.3999836671999999
0.0674,0.2104,0.295,0.4272,0.36503620000000003
0.2233,0.0864,0.0585,0.6318,0.2937625530000001
0.1339,0.1461,0.111,0.609,0.28550023300000005
0.3097,0.2335,0.0468,0.4101,0.3656706948999999
0.4153,0.0994,0.439,0.0463,0.5146242999999999
0.116,0.1212,0.459,0.3037,0.4152149999999999
0.2299,0.1456,0.5111,0.1135,0.4870257
0.0432,0.4529,0.268,0.2359,0.3671095071999999
0.5787,0.0904,0.3089,0.0221,0.4875796000000001
0.0462,0.0917,0.3914,0.4706,0.26216909999999993
0.1515,0.0731,0.0734,0.7019,0.33417966610000005
0.4335,0.1981,0.328,0.0403,0.5269235999999999
0.3274,0.2254,0.0686,0.4686,0.34061933
0.0845,0.1323,0.1546,0.6286,0.30632291600000006
0.0512,0.0723,0.4638,0.4127,0.3405475
0.0811,0.141,0.5254,0.2524,0.3766263999999999
0.0715,0.271,0.2303,0.4273,0.30779887510000004
0.1772,0.3511,0.3343,0.1374,0.4303691999999999
0.0971,0.124,0.504,0.2749,0.44562330000000006
0.4542,0.1072,0.3981,0.0405,0.5269048000000001
0.0943,0.0959,0.1192,0.6906,0.2264312408
0.2591,0.1626,0.0641,0.5142,0.3463839793000001
0.0807,0.3088,0.3047,0.3059,0.3914287999999999
0.2191,0.1881,0.4972,0.0956,0.48959700000000006
0.2945,0.1966,0.4287,0.0802,0.48456070000000007
0.3342,0.093,0.509,0.0637,0.4889356
0.1764,0.426,0.0821,0.3154,0.3670506844000001
0.2653,0.2573,0.39,0.0874,0.47179930000000003
0.4437,0.1496,0.3574,0.0492,0.4948554999999999
0.1874,0.109,0.5628,0.1409,0.44144974399512193
0.0795,0.07,0.6574,0.1931,0.42562999999999995
0.449,0.0801,0.4301,0.0408,0.5209234
0.0384,0.1138,0.3177,0.53,0.2373533955
0.1216,0.2101,0.1388,0.5296,0.366476834
0.0897,0.232,0.3647,0.3153,0.40644919999999995
