V,dJdV
2.589999999999999854e-03,nan
4.570000000000000277e-03,nan
6.559999999999999859e-03,nan
8.529999999999999388e-03,2.061221350561448507e-02
1.050000000000000065e-02,1.798178595594385198e-02
1.260000000000000009e-02,1.595466863759531506e-02
1.460000000000000013e-02,1.651003966793429534e-02
1.650000000000000078e-02,1.739582055371535763e-02
1.849999999999999908e-02,1.787878787878793840e-02
2.050000000000000086e-02,1.787878787878771636e-02
2.249999999999999917e-02,1.757575757575768893e-02
2.450000000000000094e-02,1.727272727272732844e-02
2.649999999999999925e-02,1.544926618097347548e-02
2.860000000000000042e-02,1.461836409204836373e-02
3.049999999999999933e-02,1.493804441172857933e-02
3.250000000000000111e-02,1.515151515151508255e-02
3.450000000000000289e-02,1.454545454545463912e-02
3.649999999999999772e-02,1.393939393939380711e-02
3.849999999999999950e-02,1.454545454545447258e-02
4.050000000000000128e-02,1.393939393939397364e-02
4.250000000000000305e-02,1.242424242424244873e-02
4.449999999999999789e-02,1.242424242424239322e-02
4.649999999999999967e-02,1.272727272727275372e-02
4.850000000000000144e-02,1.121212121212111779e-02
5.050000000000000322e-02,1.090909090909086832e-02
5.249999999999999806e-02,1.060606060606056333e-02
5.449999999999999983e-02,1.000000000000000888e-02
5.650000000000000161e-02,9.696969696969759411e-03
5.850000000000000339e-02,9.393939393939454430e-03
6.049999999999999822e-02,1.060606060606050782e-02
6.250000000000000000e-02,1.303030303030305870e-02
6.450000000000000178e-02,1.272727272727269821e-02
6.650000000000000355e-02,1.151515151515147828e-02
6.850000000000000533e-02,1.272727272727275372e-02
7.049999999999999323e-02,1.272727272727275372e-02
7.249999999999999500e-02,1.181818181818183877e-02
7.449999999999999678e-02,1.181818181818178326e-02
7.649999999999999856e-02,1.242424242424244873e-02
7.850000000000000033e-02,1.151515151515147828e-02
8.050000000000000211e-02,9.696969696969703900e-03
8.250000000000000389e-02,8.484848484848483974e-03
8.450000000000000566e-02,9.072915388704860806e-03
8.640000000000000457e-02,9.197235513025120435e-03
8.849999999999999534e-02,8.598176890859787758e-03
9.049999999999999711e-02,9.393939393939343407e-03
9.249999999999999889e-02,9.696969696969759411e-03
9.450000000000000067e-02,9.090909090909066181e-03
9.650000000000000244e-02,8.181818181818206748e-03
9.850000000000000422e-02,7.994227994227887102e-03
1.000000000000000056e-01,7.215007215007118724e-03
1.019999999999999934e-01,6.060606060606127388e-03
1.039999999999999952e-01,6.363636363636376858e-03
1.059999999999999970e-01,7.272727272727236292e-03
1.079999999999999988e-01,9.090909090909066181e-03
1.100000000000000006e-01,1.000000000000003664e-02
1.120000000000000023e-01,9.090909090909093937e-03
1.140000000000000041e-01,8.484848484848428463e-03
1.160000000000000059e-01,7.878787878787901766e-03
1.179999999999999938e-01,6.666666666666737351e-03
