V,dJdV
2.599999999999999881e-03,nan
4.579999999999999870e-03,nan
6.570000000000000319e-03,nan
8.580000000000000820e-03,2.286212844090984575e-02
1.060000000000000005e-02,2.231378361716773728e-02
1.260000000000000009e-02,2.090909090909087720e-02
1.460000000000000013e-02,1.878787878787868681e-02
1.660000000000000017e-02,1.965403018034606042e-02
1.849999999999999908e-02,1.982608035239619149e-02
2.060000000000000026e-02,1.894344138246573106e-02
2.259999999999999856e-02,1.939393939393951882e-02
2.460000000000000034e-02,1.909090909090893629e-02
2.659999999999999865e-02,1.727272727272732844e-02
2.860000000000000042e-02,1.545454545454538753e-02
3.059999999999999873e-02,1.545454545454538753e-02
3.259999999999999704e-02,1.545454545454549855e-02
3.459999999999999881e-02,1.575757575757574802e-02
3.660000000000000059e-02,1.696969696969685693e-02
3.860000000000000236e-02,1.787878787878782738e-02
4.059999999999999720e-02,1.666666666666671848e-02
4.259999999999999898e-02,1.588762115077924086e-02
4.449999999999999789e-02,1.500184026499806755e-02
4.649999999999999967e-02,1.302361595044504439e-02
4.859999999999999737e-02,1.209235209235215436e-02
5.059999999999999915e-02,1.215311004784680460e-02
5.249999999999999806e-02,1.215311004784691562e-02
5.449999999999999983e-02,1.151515151515158930e-02
5.650000000000000161e-02,1.151515151515142277e-02
5.850000000000000339e-02,1.121212121212122881e-02
6.049999999999999822e-02,1.121212121212128432e-02
6.250000000000000000e-02,1.151515151515147828e-02
6.450000000000000178e-02,1.181818181818178326e-02
6.650000000000000355e-02,1.181818181818183877e-02
6.850000000000000533e-02,1.242424242424239322e-02
7.049999999999999323e-02,1.303030303030305870e-02
7.249999999999999500e-02,1.241647241647247935e-02
7.439999999999999392e-02,1.102453102453115896e-02
7.649999999999999856e-02,9.442860662372765113e-03
7.850000000000000033e-02,8.787878787878733444e-03
8.050000000000000211e-02,8.484848484848428463e-03
8.250000000000000389e-02,9.393939393939343407e-03
8.450000000000000566e-02,9.696969696969703900e-03
8.649999999999999356e-02,1.000000000000017542e-02
8.849999999999999534e-02,1.121212121212111779e-02
9.049999999999999711e-02,1.060606060606050782e-02
9.249999999999999889e-02,9.393939393939454430e-03
9.450000000000000067e-02,9.999999999999953371e-03
9.650000000000000244e-02,1.060606060606061884e-02
9.850000000000000422e-02,1.041847041847043798e-02
1.000000000000000056e-01,1.015873015873014484e-02
1.019999999999999934e-01,1.000000000000000888e-02
1.039999999999999952e-01,9.090909090909149448e-03
1.059999999999999970e-01,8.484848484848428463e-03
1.079999999999999988e-01,9.696969696969648389e-03
1.100000000000000006e-01,9.696969696969703900e-03
1.120000000000000023e-01,8.787878787878788955e-03
1.140000000000000041e-01,9.393939393939398919e-03
1.160000000000000059e-01,9.393939393939343407e-03
1.179999999999999938e-01,8.484848484848539485e-03
1.199999999999999956e-01,8.181818181818178992e-03
1.219999999999999973e-01,8.181818181818234503e-03
1.239999999999999991e-01,7.878787878787874011e-03
1.260000000000000009e-01,6.969696969696959066e-03
1.280000000000000027e-01,7.878787878787818499e-03
1.300000000000000044e-01,9.090909090909093937e-03
1.320000000000000062e-01,7.878787878787929522e-03
1.340000000000000080e-01,6.666666666666598573e-03
1.360000000000000098e-01,6.666666666666654084e-03
1.380000000000000115e-01,5.454545454545489669e-03
1.400000000000000133e-01,4.545454545454574724e-03
1.419999999999999873e-01,5.151515151515240198e-03
1.439999999999999891e-01,5.757575757575711384e-03
1.459999999999999909e-01,6.060606060606071877e-03
1.479999999999999927e-01,6.666666666666681840e-03
1.499999999999999944e-01,7.575757575757596785e-03
1.519999999999999962e-01,7.878787878787874011e-03
1.539999999999999980e-01,8.181818181818151237e-03
1.559999999999999998e-01,8.484848484848456218e-03
1.580000000000000016e-01,7.575757575757569029e-03
1.600000000000000033e-01,6.060606060606044121e-03
1.620000000000000051e-01,4.848484848484851950e-03
1.640000000000000069e-01,4.848484848484824195e-03
1.660000000000000087e-01,5.151515151515101421e-03
1.680000000000000104e-01,5.454545454545461913e-03
1.700000000000000122e-01,5.757575757575822406e-03
1.719999999999999862e-01,5.757575757575822406e-03
1.739999999999999880e-01,5.757575757575739139e-03
1.759999999999999898e-01,5.757575757575766895e-03
1.779999999999999916e-01,5.757575757575822406e-03
1.799999999999999933e-01,5.454545454545406402e-03
1.819999999999999951e-01,5.454545454545406402e-03
1.839999999999999969e-01,5.454545454545461913e-03
