V,dJdV
2.619999999999999933e-03,nan
4.610000000000000382e-03,nan
6.620000000000000016e-03,nan
8.609999999999999598e-03,1.949139637581864815e-02
1.060000000000000005e-02,1.913747365215212604e-02
1.260000000000000009e-02,1.878787878787879784e-02
1.460000000000000013e-02,1.757575757575757791e-02
1.660000000000000017e-02,1.696969696969696795e-02
1.859999999999999848e-02,1.757575757575779996e-02
2.060000000000000026e-02,1.727272727272699537e-02
2.259999999999999856e-02,1.696969696969696795e-02
2.460000000000000034e-02,1.696969696969696795e-02
2.659999999999999865e-02,1.680529996319457542e-02
2.850000000000000103e-02,1.671982987772457907e-02
3.059999999999999873e-02,1.626508992362674100e-02
3.259999999999999704e-02,1.515151515151524908e-02
3.459999999999999881e-02,1.363636363636366866e-02
3.660000000000000059e-02,1.363636363636366866e-02
3.860000000000000236e-02,1.300699300699303951e-02
4.050000000000000128e-02,1.129870129870136353e-02
4.259999999999999898e-02,1.129870129870125250e-02
4.449999999999999789e-02,1.241647241647236832e-02
4.649999999999999967e-02,1.121212121212111779e-02
4.850000000000000144e-02,1.087952697708782779e-02
5.059999999999999915e-02,1.305247597930536685e-02
5.260000000000000092e-02,1.424242424242427862e-02
5.460000000000000270e-02,1.362941152414831603e-02
5.650000000000000161e-02,1.333415122888792492e-02
5.850000000000000339e-02,1.333333333333353021e-02
6.049999999999999822e-02,1.181818181818183877e-02
6.250000000000000000e-02,1.009256326329505127e-02
6.460000000000000464e-02,1.041543252069565550e-02
6.650000000000000355e-02,1.061301271827586046e-02
6.850000000000000533e-02,1.000000000000011990e-02
7.049999999999999323e-02,1.060606060606061884e-02
7.249999999999999500e-02,1.090909090909086832e-02
7.449999999999999678e-02,1.060606060606050782e-02
7.649999999999999856e-02,1.030303030303031386e-02
7.850000000000000033e-02,1.030303030303036937e-02
8.050000000000000211e-02,9.393939393939398919e-03
8.250000000000000389e-02,9.090909090909038426e-03
8.450000000000000566e-02,1.030303030303031386e-02
8.649999999999999356e-02,1.060606060606072987e-02
8.849999999999999534e-02,1.000000000000000888e-02
9.049999999999999711e-02,1.090909090909081280e-02
9.249999999999999889e-02,1.121212121212133983e-02
9.450000000000000067e-02,9.696969696969814922e-03
9.650000000000000244e-02,8.484848484848317440e-03
9.850000000000000422e-02,8.917748917748880011e-03
1.000000000000000056e-01,8.398268398268460277e-03
1.019999999999999934e-01,5.939393939393800004e-03
1.049999999999999961e-01,6.303030303030365822e-03
1.069999999999999979e-01,8.484848484848539485e-03
1.089999999999999997e-01,9.999999999999897859e-03
1.110000000000000014e-01,9.090909090909038426e-03
1.130000000000000032e-01,1.555555555555510061e-02
1.140000000000000041e-01,1.616161616161598813e-02
1.170000000000000068e-01,7.313131313131382427e-03
1.189999999999999947e-01,7.272727272727264047e-03
1.209999999999999964e-01,1.353535353535373353e-02
1.219999999999999973e-01,1.414141414141451003e-02
1.239999999999999991e-01,8.181818181818178992e-03
1.260000000000000009e-01,8.484848484848428463e-03
1.280000000000000027e-01,9.090909090909093937e-03
1.300000000000000044e-01,9.393939393939398919e-03
1.320000000000000062e-01,8.181818181818067970e-03
1.340000000000000080e-01,6.666666666666654084e-03
1.360000000000000098e-01,7.272727272727375070e-03
1.380000000000000115e-01,7.272727272727319558e-03
1.400000000000000133e-01,6.969696969696959066e-03
1.419999999999999873e-01,7.878787878787929522e-03
1.439999999999999891e-01,8.484848484848428463e-03
1.459999999999999909e-01,7.878787878787929522e-03
1.479999999999999927e-01,7.878787878787874011e-03
1.499999999999999944e-01,8.484848484848372951e-03
1.519999999999999962e-01,7.878787878787874011e-03
1.539999999999999980e-01,7.575757575757569029e-03
1.559999999999999998e-01,7.878787878787929522e-03
1.580000000000000016e-01,7.878787878787874011e-03
1.600000000000000033e-01,7.272727272727208536e-03
1.620000000000000051e-01,7.575757575757624540e-03
1.640000000000000069e-01,8.181818181818178992e-03
1.660000000000000087e-01,8.484848484848483974e-03
1.680000000000000104e-01,9.090909090909038426e-03
1.700000000000000122e-01,9.393939393939343407e-03
1.719999999999999862e-01,8.181818181818401037e-03
1.739999999999999880e-01,7.272727272727264047e-03
1.759999999999999898e-01,7.272727272727264047e-03
1.779999999999999916e-01,6.969696969696959066e-03
1.799999999999999933e-01,7.272727272727264047e-03
1.819999999999999951e-01,7.575757575757569029e-03
1.839999999999999969e-01,7.272727272727264047e-03
1.859999999999999987e-01,7.272727272727264047e-03
1.880000000000000004e-01,7.575757575757513518e-03
1.900000000000000022e-01,6.363636363636404614e-03
1.920000000000000040e-01,6.666666666666709595e-03
1.940000000000000058e-01,8.181818181818123481e-03
1.960000000000000075e-01,7.575757575757569029e-03
1.980000000000000093e-01,6.969696969697014577e-03
2.000000000000000111e-01,6.969696969696931310e-03
2.020000000000000129e-01,5.757575757575739139e-03
2.039999999999999869e-01,5.151515151515184687e-03
2.059999999999999887e-01,6.060606060606044121e-03
2.079999999999999905e-01,5.757575757575794650e-03
2.099999999999999922e-01,5.757575757575739139e-03
2.119999999999999940e-01,6.969696969696986821e-03
2.139999999999999958e-01,7.272727272727264047e-03
2.159999999999999976e-01,6.969696969696903555e-03
2.179999999999999993e-01,7.272727272727319558e-03
2.200000000000000011e-01,7.878787878787901766e-03
2.220000000000000029e-01,7.575757575757541273e-03
2.240000000000000047e-01,6.969696969696986821e-03
2.260000000000000064e-01,5.454545454545461913e-03
2.280000000000000082e-01,5.151515151515073665e-03
2.300000000000000100e-01,5.454545454545406402e-03
2.320000000000000118e-01,5.757575757575794650e-03
2.340000000000000135e-01,6.363636363636376858e-03
2.359999999999999876e-01,6.969696969697014577e-03
2.379999999999999893e-01,7.272727272727264047e-03
2.399999999999999911e-01,6.666666666666681840e-03
2.419999999999999929e-01,6.363636363636376858e-03
2.439999999999999947e-01,4.848484848484796439e-03
2.459999999999999964e-01,4.545454545454519213e-03
2.479999999999999982e-01,5.151515151515184687e-03
2.500000000000000000e-01,4.545454545454546968e-03
2.520000000000000018e-01,3.636363636363604268e-03
2.540000000000000036e-01,4.424242424242441629e-03
2.560000000000000053e-01,5.121212121212137536e-03
2.580000000000000071e-01,3.575757575757537721e-03
2.600000000000000089e-01,4.242424242424269742e-03
2.620000000000000107e-01,5.727272727272747499e-03
2.640000000000000124e-01,5.333333333333301063e-03
2.660000000000000142e-01,5.060606060606043233e-03
2.680000000000000160e-01,5.636363636363633800e-03
2.700000000000000178e-01,4.848484848484851950e-03
