V,dJdV
2.589999999999999854e-03,nan
4.539999999999999765e-03,nan
6.530000000000000214e-03,nan
8.540000000000000716e-03,2.623510125403327731e-02
1.050000000000000065e-02,2.509685169783693048e-02
1.260000000000000009e-02,2.390314292753292769e-02
1.460000000000000013e-02,2.363636363636367754e-02
1.660000000000000017e-02,2.424242424242462057e-02
1.849999999999999908e-02,2.335664335664333624e-02
2.050000000000000086e-02,2.181818181818151459e-02
2.249999999999999917e-02,2.060606060606073875e-02
2.450000000000000094e-02,2.094323021152266762e-02
2.659999999999999865e-02,2.094323021152322273e-02
2.860000000000000042e-02,2.086696928802200812e-02
3.049999999999999933e-02,2.057170899276150600e-02
3.250000000000000111e-02,1.969696969696976829e-02
3.450000000000000289e-02,1.878787878787890886e-02
3.649999999999999772e-02,1.878787878787868681e-02
3.849999999999999950e-02,1.939393939393940780e-02
4.050000000000000128e-02,1.818181818181818787e-02
4.250000000000000305e-02,1.818181818181829890e-02
4.449999999999999789e-02,1.909090909090904731e-02
4.649999999999999967e-02,1.818181818181829890e-02
4.850000000000000144e-02,1.727272727272732844e-02
5.050000000000000322e-02,1.773061626720151551e-02
5.260000000000000092e-02,1.754234070023530379e-02
5.449999999999999983e-02,1.651003966793451738e-02
5.650000000000000161e-02,1.606060606060610851e-02
5.850000000000000339e-02,1.606060606060610851e-02
6.049999999999999822e-02,1.545454545454527651e-02
6.250000000000000000e-02,1.515151515151524908e-02
6.450000000000000178e-02,1.424242424242427862e-02
6.650000000000000355e-02,1.484848484848477757e-02
6.850000000000000533e-02,1.484848484848488859e-02
7.049999999999999323e-02,1.424242424242427862e-02
7.249999999999999500e-02,1.556046292888391136e-02
7.439999999999999392e-02,1.577580314422410979e-02
7.649999999999999856e-02,1.350015837820706111e-02
7.850000000000000033e-02,1.303030303030294768e-02
8.050000000000000211e-02,1.333333333333330817e-02
8.250000000000000389e-02,1.272727272727280923e-02
8.450000000000000566e-02,1.333333333333330817e-02
8.649999999999999356e-02,1.402036559931296722e-02
8.840000000000000635e-02,1.346092503987239564e-02
9.049999999999999711e-02,1.274205469327427398e-02
9.249999999999999889e-02,1.333333333333341919e-02
9.450000000000000067e-02,1.303030303030294768e-02
9.650000000000000244e-02,1.303030303030294768e-02
9.850000000000000422e-02,1.725829725829719496e-02
1.000000000000000056e-01,1.803751803751796334e-02
1.019999999999999934e-01,1.333333333333341919e-02
1.039999999999999952e-01,1.212121212121219926e-02
1.059999999999999970e-01,1.242424242424233771e-02
1.079999999999999988e-01,1.181818181818172775e-02
1.100000000000000006e-01,1.090909090909092383e-02
1.120000000000000023e-01,1.090909090909092383e-02
1.140000000000000041e-01,1.090909090909092383e-02
1.160000000000000059e-01,1.030303030303036937e-02
1.179999999999999938e-01,1.000000000000000888e-02
1.199999999999999956e-01,1.030303030303031386e-02
1.219999999999999973e-01,1.121212121212133983e-02
1.239999999999999991e-01,1.212121212121203273e-02
1.260000000000000009e-01,1.181818181818178326e-02
1.280000000000000027e-01,1.121212121212128432e-02
1.300000000000000044e-01,1.181818181818172775e-02
1.320000000000000062e-01,1.212121212121208824e-02
1.340000000000000080e-01,1.090909090909086832e-02
1.360000000000000098e-01,1.060606060606050782e-02
1.380000000000000115e-01,1.090909090909103485e-02
1.400000000000000133e-01,9.999999999999953371e-03
1.419999999999999873e-01,9.090909090909204959e-03
1.439999999999999891e-01,9.090909090909093937e-03
1.459999999999999909e-01,9.696969696969592878e-03
1.479999999999999927e-01,9.999999999999953371e-03
1.499999999999999944e-01,1.030303030303025835e-02
1.519999999999999962e-01,1.121212121212128432e-02
1.539999999999999980e-01,1.090909090909097934e-02
1.559999999999999998e-01,9.393939393939398919e-03
1.580000000000000016e-01,1.060606060606056333e-02
1.600000000000000033e-01,1.121212121212111779e-02
1.620000000000000051e-01,1.030303030303031386e-02
1.640000000000000069e-01,1.060606060606067436e-02
1.660000000000000087e-01,1.151515151515142277e-02
1.680000000000000104e-01,9.999999999999953371e-03
1.700000000000000122e-01,8.484848484848594996e-03
1.719999999999999862e-01,9.090909090909149448e-03
1.739999999999999880e-01,8.787878787878733444e-03
1.759999999999999898e-01,8.787878787878844467e-03
1.779999999999999916e-01,8.484848484848372951e-03
1.799999999999999933e-01,8.181818181818178992e-03
1.819999999999999951e-01,8.484848484848594996e-03
1.839999999999999969e-01,9.090909090909093937e-03
1.859999999999999987e-01,9.090909090909038426e-03
1.880000000000000004e-01,8.787878787878788955e-03
1.900000000000000022e-01,8.484848484848483974e-03
1.920000000000000040e-01,8.787878787878788955e-03
1.940000000000000058e-01,9.090909090909093937e-03
1.960000000000000075e-01,8.787878787878733444e-03
1.980000000000000093e-01,9.696969696969648389e-03
2.000000000000000111e-01,1.000000000000000888e-02
2.020000000000000129e-01,8.181818181818178992e-03
2.039999999999999869e-01,7.272727272727264047e-03
2.059999999999999887e-01,7.575757575757569029e-03
2.079999999999999905e-01,8.484848484848511729e-03
2.099999999999999922e-01,9.090909090909093937e-03
2.119999999999999940e-01,8.787878787878788955e-03
