V,dJdV
2.500000000000000052e-03,nan
4.470000000000000015e-03,nan
6.450000000000000004e-03,nan
8.470000000000000098e-03,9.881097578832875872e-03
1.050000000000000065e-02,8.108376606707878853e-03
1.250000000000000069e-02,7.878787878787929522e-03
1.450000000000000074e-02,9.090909090909149448e-03
1.650000000000000078e-02,9.090909090909093937e-03
1.849999999999999908e-02,8.787878787878788955e-03
2.050000000000000086e-02,8.484848484848317440e-03
2.249999999999999917e-02,7.575757575757569029e-03
2.450000000000000094e-02,6.363636363636349103e-03
2.649999999999999925e-02,5.454545454545600691e-03
2.850000000000000103e-02,5.757575757575683628e-03
3.049999999999999933e-02,7.878787878787985033e-03
3.250000000000000111e-02,8.181818181818290014e-03
3.450000000000000289e-02,6.969696969696959066e-03
3.649999999999999772e-02,7.878787878787818499e-03
3.849999999999999950e-02,7.575757575757624540e-03
4.050000000000000128e-02,6.192287244918881495e-03
4.240000000000000019e-02,6.782807835439441657e-03
4.440000000000000197e-02,7.878787878787874011e-03
4.639999999999999680e-02,6.969696969696959066e-03
4.839999999999999858e-02,6.201386689191623613e-03
5.050000000000000322e-02,5.580544117129493387e-03
5.249999999999999806e-02,5.151515151515073665e-03
5.449999999999999983e-02,5.928924876293317769e-03
5.639999999999999875e-02,6.814705762074158013e-03
5.840000000000000052e-02,7.272727272727319558e-03
6.040000000000000230e-02,6.969696969696959066e-03
6.239999999999999714e-02,6.363636363636349103e-03
6.439999999999999891e-02,5.757575757575739139e-03
6.640000000000000069e-02,4.848484848484824195e-03
6.840000000000000246e-02,4.848484848484879706e-03
7.040000000000000424e-02,6.363636363636404614e-03
7.240000000000000602e-02,6.666666666666654084e-03
7.439999999999999392e-02,6.060606060606099632e-03
7.639999999999999569e-02,6.363636363636349103e-03
7.839999999999999747e-02,5.757575757575739139e-03
8.039999999999999925e-02,4.545454545454574724e-03
8.240000000000000102e-02,4.242424242424269742e-03
8.440000000000000280e-02,3.939393939393909250e-03
8.640000000000000457e-02,3.636363636363604268e-03
