V,dJdV
2.619999999999999933e-03,nan
4.539999999999999765e-03,nan
6.530000000000000214e-03,nan
8.569999999999999493e-03,1.489110377179725386e-02
1.060000000000000005e-02,1.442981934639309127e-02
1.260000000000000009e-02,1.272727272727269821e-02
1.460000000000000013e-02,1.181818181818194979e-02
1.660000000000000017e-02,1.181818181818183877e-02
1.859999999999999848e-02,1.181818181818183877e-02
2.060000000000000026e-02,1.090909090909086832e-02
2.259999999999999856e-02,1.090909090909109036e-02
2.460000000000000034e-02,1.181818181818172775e-02
2.659999999999999865e-02,1.090909090909109036e-02
2.860000000000000042e-02,9.393939393939176874e-03
3.059999999999999873e-02,1.002249212775507825e-02
3.250000000000000111e-02,1.061301271827597148e-02
3.450000000000000289e-02,8.908598176890825115e-03
3.660000000000000059e-02,8.908598176890936138e-03
3.860000000000000236e-02,9.696969696969759411e-03
4.059999999999999720e-02,9.090909090909038426e-03
4.259999999999999898e-02,7.575757575757569029e-03
4.460000000000000075e-02,7.272727272727319558e-03
4.660000000000000253e-02,8.181818181818290014e-03
4.859999999999999737e-02,7.575757575757458007e-03
5.059999999999999915e-02,7.272727272727319558e-03
5.260000000000000092e-02,8.181818181818067970e-03
5.460000000000000270e-02,8.787878787878788955e-03
5.659999999999999754e-02,7.700486647855275812e-03
5.850000000000000339e-02,7.187666135034576076e-03
6.060000000000000109e-02,7.666913032766675684e-03
6.260000000000000286e-02,6.666666666666598573e-03
6.460000000000000464e-02,5.454545454545600691e-03
6.660000000000000642e-02,6.287981024823197096e-03
6.850000000000000533e-02,6.878501615343757258e-03
7.049999999999999323e-02,6.363636363636349103e-03
7.249999999999999500e-02,7.173761910603926317e-03
7.439999999999999392e-02,7.583352320194358676e-03
7.649999999999999856e-02,7.385351775595516699e-03
7.850000000000000033e-02,7.385351775595572210e-03
8.060000000000000497e-02,7.583352320194358676e-03
8.250000000000000389e-02,7.469022205864428443e-03
8.450000000000000566e-02,7.575757575757791074e-03
8.649999999999999356e-02,7.878787878787929522e-03
8.849999999999999534e-02,7.878787878787818499e-03
9.049999999999999711e-02,7.575757575757569029e-03
9.249999999999999889e-02,8.181818181818067970e-03
9.450000000000000067e-02,7.272727272727319558e-03
9.650000000000000244e-02,6.363636363636349103e-03
9.850000000000000422e-02,6.410774410774422449e-03
