Pt,Pd,Au,Ir,dm_Pt,dm_Pd,dm_Au,dm_Ir,dm_Si,dm_total_abs,run
0.3275,0.151,0.4458,0.0758,-0.0013,0.0006,-0.0033,-0.0004,0.013,0.0056,run9-22
0.6525,0.1073,0.2393,0.0009,-0.0012,0.0007,-0.0003,-0.0006,0.01,0.0028,run9-34
0.1599,0.245,0.4481,0.1471,-0.001,-0.0024,-0.0007,-0.0024,0.0338,0.0065,run10-9
0.5665,0.095,0.3169,0.0216,0.0,0.0028,-0.0027,-0.0003,0.0074,0.0058,run10-34
0.0417,0.1253,0.3351,0.4979,0.0006,0.0012,-0.0051,-0.0007,0.0068,0.0076,run11-12
0.0628,0.1019,0.5044,0.3309,-0.0004,0.0018,-0.0065,-0.0042,0.0261,0.0129,run11-18
