Pt,Pd,Au,Ir,k,V0,u1,s1,A1,A2,File
0.2717,0.3499,0.3062,0.0721,16.995497181457146,1.6979415028003568,1.2129375917461238,0.1370921972507837,0.04718803926192708,0.017473681935316426,Run10-2-spot1.DTA.csv
0.1157,0.2288,0.4342,0.2213,9.410223584884928,1.6259062996796292,1.4194854319923185,0.10674615399901728,0.03889994525429527,0.011435912631457218,Run10-2-spot10.DTA.csv
0.0897,0.232,0.3647,0.3153,10.852257385560412,1.6007270937385507,1.438358727292353,0.1190994176796181,0.050902001362448615,0.021002934526064974,Run10-2-spot11.DTA.csv
0.0674,0.2104,0.295,0.4272,11.225475001071146,1.5697136985049165,1.4283664325405967,0.1213235144420779,0.05267616189955497,0.022676046628757076,Run10-2-spot12.DTA.csv
0.4335,0.1981,0.328,0.0403,13.637077315990497,1.7324328044055735,1.2396952187208052,0.08131776237203536,0.04968364302277131,0.0026029029205056962,Run10-2-spot13.DTA.csv
0.3259,0.1963,0.4102,0.0677,12.480285344971309,1.7257784123942463,1.230624243150103,0.09938323256444932,0.05160446849152991,0.0040000786212715895,Run10-2-spot14.DTA.csv
0.2328,0.1835,0.4858,0.0979,12.492400061432223,1.7283342684051253,1.3225888050063315,0.14156481035682547,0.06151097742966686,0.0025123400902134015,Run10-2-spot15.DTA.csv
0.1246,0.168,0.5033,0.204,8.651584075484607,1.7069448477626712,1.3878500409301258,0.07713012457223159,0.06557825826125915,0.011193378348771581,Run10-2-spot17.DTA.csv
0.0935,0.1705,0.4324,0.3036,9.226845974578616,1.6652996285576296,1.4415657845116807,0.12376857679948164,0.04538441418894735,0.0151298386317768,Run10-2-spot18.DTA.csv
0.0711,0.1614,0.345,0.4226,10.910887830706184,1.583866950105117,1.4354382516107762,0.1216983533508275,0.053328779901466866,0.02239529046050135,Run10-2-spot19.DTA.csv
0.1951,0.3545,0.347,0.1035,11.365304561713131,1.7040979304895554,1.2992921209332517,0.11199169432125948,0.06049557219096123,0.006342456919499307,Run10-2-spot2.DTA.csv
0.4831,0.1529,0.3268,0.0373,11.95218778112519,1.9239686078704554,1.5999999999999999,0.095361808837969,0.17668272567994978,0.0059350158705973296,Run10-2-spot20.DTA.csv
0.3653,0.1601,0.4174,0.0572,12.2247980091223,1.7299984577063778,1.264790300634595,0.10536239945819748,0.050424009200668904,0.0017781175605836338,Run10-2-spot21.DTA.csv
0.2529,0.1478,0.5112,0.0881,11.769891148490688,1.7323844230233494,1.3455297315829111,0.0612477173711697,0.04746668373591533,0.0021584240958870495,Run10-2-spot22.DTA.csv
0.1751,0.1289,0.5691,0.1269,10.742518611126732,1.7108178784393377,1.3638818187185842,0.05834944721390268,0.04625154834253484,0.005296481137278056,Run10-2-spot23.DTA.csv
0.1295,0.1213,0.5666,0.1826,10.288015458768792,1.7149517101400595,1.379200055196064,0.06808743493719163,0.057463163386319085,0.00796683626307263,Run10-2-spot24.DTA.csv
0.0971,0.124,0.504,0.2749,9.023920621941,1.672442267146104,1.4198010185849805,0.10238189735607893,0.05100246411655557,0.013281037181724652,Run10-2-spot25.DTA.csv
0.0767,0.126,0.4065,0.3907,10.814286669205384,1.59374513780212,1.4336654071953467,0.11568452822171067,0.05114681382937642,0.019537744630617696,Run10-2-spot26.DTA.csv
