Pt,Pd,Au,Ir,Eta,Eta5,File
0.057,0.1665,0.2785,0.498,0.582635295,0.5252560269976979,Run12-spot25.DTA.csv
0.0325,0.1485,0.3818,0.4372,0.597599963384313,0.5443929046950602,Run12-spot26.DTA.csv
0.3487,0.1658,0.0403,0.4453,0.7053163204999999,0.6507573469836996,Run12-spot27.DTA.csv
0.2591,0.1626,0.0641,0.5142,0.6272759035,0.5767379517500002,Run12-spot28.DTA.csv
0.1853,0.1616,0.0819,0.5712,0.6115623123454688,0.5488814036390925,Run12-spot29.DTA.csv
0.0808,0.5361,0.1358,0.2474,0.6692930615000001,0.6277448141313707,Run12-spot3.DTA.csv
0.1339,0.1461,0.111,0.609,0.5867403957897751,0.5264706579174494,Run12-spot30.DTA.csv
0.0845,0.1323,0.1546,0.6286,0.5901092475,0.5131539812434375,Run12-spot31.DTA.csv
0.0586,0.1262,0.2125,0.6028,0.5906156640025955,0.523426986980864,Run12-spot32.DTA.csv
0.0384,0.1138,0.3177,0.53,0.5376814704999999,0.49193828235027176,Run12-spot33.DTA.csv
0.3825,0.1256,0.0314,0.4604,nan,0.7931526769018266,Run12-spot34.DTA.csv
0.1988,0.1146,0.0741,0.6124,0.5915496982696933,0.5313667476946378,Run12-spot36.DTA.csv
0.1375,0.1015,0.094,0.667,0.5612586981170375,0.5037294010019188,Run12-spot37.DTA.csv
0.0943,0.0959,0.1192,0.6906,0.5258518909999998,0.47602491426277316,Run12-spot38.DTA.csv
0.0639,0.0957,0.1638,0.6766,0.5327632295,0.47948073376188977,Run12-spot39.DTA.csv
0.056,0.5051,0.1957,0.2432,0.685111998997191,0.6431488117506429,Run12-spot4.DTA.csv
0.0411,0.0921,0.2475,0.6193,0.5362014799999999,0.483716126036722,Run12-spot40.DTA.csv
0.305,0.0882,0.0446,0.5621,0.6555139350000001,0.57085621455308,Run12-spot41.DTA.csv
0.2233,0.0864,0.0585,0.6318,0.595751535,0.5489844733648763,Run12-spot42.DTA.csv
0.1515,0.0731,0.0734,0.7019,0.6148413154999999,0.5455200341748646,Run12-spot43.DTA.csv
0.104,0.0704,0.0958,0.7298,0.534803623,0.49050181149999994,Run12-spot44.DTA.csv
0.0736,0.0714,0.1293,0.7257,0.5501353009999999,0.4931676505,Run12-spot45.DTA.csv
0.0432,0.4529,0.268,0.2359,0.6450800240000001,0.5906385411432039,Run12-spot5.DTA.csv
0.2389,0.4308,0.0492,0.2811,0.6731973739999999,0.6196975255010082,Run12-spot6.DTA.csv
0.1764,0.426,0.0821,0.3154,0.6345961185,0.5753973878922389,Run12-spot7.DTA.csv
0.1294,0.4334,0.1083,0.3288,0.6226802309999999,0.5694392817265939,Run12-spot8.DTA.csv
0.0919,0.4174,0.1613,0.3294,0.5956658395127241,0.54093393475,Run12-spot9.DTA.csv
0.1874,0.109,0.5628,0.1409,0.7282490647073172,0.6722238196303955,Run9-2-spot31.DTA.csv
0.139,0.1152,0.5325,0.2133,0.7111775,0.6636875943484816,Run9-2-spot32.DTA.csv
0.116,0.1212,0.459,0.3037,0.6739485000000001,0.6100739455261932,Run9-2-spot33.DTA.csv
0.6525,0.1073,0.2393,0.0009,0.7977775,0.7669865839319374,Run9-2-spot34.DTA.csv
0.5396,0.1063,0.3239,0.0302,0.7899555,0.76807775,Run9-2-spot35.DTA.csv
0.4261,0.1038,0.4185,0.0516,0.7996720911654174,0.7729365888305075,Run9-2-spot36.DTA.csv
0.2963,0.1031,0.5191,0.0815,0.7900692345346467,0.758132002900975,Run9-2-spot37.DTA.csv
0.2058,0.0902,0.5836,0.1204,0.784627,0.7504128055366021,Run9-2-spot38.DTA.csv
0.1568,0.0941,0.5826,0.1665,0.7365565000000001,0.7005182773309049,Run9-2-spot39.DTA.csv
0.1267,0.1018,0.5288,0.2426,0.6982075000000001,0.6522028757332003,Run9-2-spot40.DTA.csv
0.5787,0.0904,0.3089,0.0221,0.8002195000000003,0.76820975,Run9-2-spot41.DTA.csv
0.4636,0.0972,0.3994,0.0398,0.8022820000000004,0.7692384178756815,Run9-2-spot42.DTA.csv
0.3342,0.093,0.509,0.0637,0.7989784254289775,0.7675898605050038,Run9-2-spot43.DTA.csv
0.238,0.0902,0.5812,0.0905,0.7956325000000004,0.7559129260525772,Run9-2-spot44.DTA.csv
0.1802,0.0875,0.5998,0.1325,0.7607307552296013,0.7397182867846667,Run9-2-spot45.DTA.csv
0.2022,0.253,0.4393,0.1055,0.7859575497048742,0.7460783637158921,run11-2-spot1.DTA.csv
0.0811,0.141,0.5254,0.2524,0.6650240000000001,0.6156103992723105,run11-2-spot10.DTA.csv
0.0588,0.1365,0.4358,0.3689,0.6262615,0.5662307500000001,run11-2-spot11.DTA.csv
0.0417,0.1253,0.3351,0.4979,0.5855364999999999,0.5308675303787913,run11-2-spot12.DTA.csv
0.3362,0.1524,0.449,0.0624,0.7995553207418851,0.7711282114109806,run11-2-spot13.DTA.csv
0.2435,0.1388,0.5317,0.0859,0.7910270000000001,0.7536121889236376,run11-2-spot14.DTA.csv
0.1622,0.1254,0.596,0.1164,0.760994,0.7235952469913528,run11-2-spot15.DTA.csv
0.11,0.1056,0.6252,0.1591,0.746275,0.7112358501279064,run11-2-spot16.DTA.csv
0.0767,0.0953,0.6023,0.2257,0.6857626554432533,0.6459804799301924,run11-2-spot17.DTA.csv
0.0628,0.1019,0.5044,0.3309,0.6124499999999999,0.5643237742014339,run11-2-spot18.DTA.csv
0.0462,0.0917,0.3914,0.4706,0.5614444999999999,0.5008311442979375,run11-2-spot19.DTA.csv
0.1438,0.2394,0.4781,0.1387,0.733371,0.6897842712545446,run11-2-spot2.DTA.csv
0.3742,0.1144,0.455,0.0564,0.8166499479960094,0.7714258678914461,run11-2-spot20.DTA.csv
0.2761,0.1084,0.5391,0.0763,nan,0.7729267593953542,run11-2-spot21.DTA.csv
0.1827,0.0979,0.6123,0.1072,0.7890453993841406,0.7488943237068597,run11-2-spot22.DTA.csv
0.1146,0.0824,0.6623,0.1406,0.7561905,0.7138785397147742,run11-2-spot23.DTA.csv
0.0795,0.07,0.6574,0.1931,0.696173530294033,0.6554235226511854,run11-2-spot24.DTA.csv
0.0603,0.0688,0.584,0.2869,0.6632720000000001,0.6097351791300711,run11-2-spot25.DTA.csv
0.0512,0.0723,0.4638,0.4127,0.613650616655137,0.5549262500000001,run11-2-spot26.DTA.csv
0.4153,0.0994,0.439,0.0463,0.8194556783214827,0.7878272780084601,run11-2-spot27.DTA.csv
0.3132,0.0937,0.5264,0.0667,0.8179052536440018,0.7820524641392214,run11-2-spot28.DTA.csv
0.2173,0.0732,0.615,0.0945,0.8046705084337563,0.7754355797422385,run11-2-spot29.DTA.csv
0.1079,0.2247,0.4793,0.1881,0.697610689382855,0.6469047997387095,run11-2-spot3.DTA.csv
0.133,0.0667,0.6788,0.1215,0.7864875000000002,0.7513428251646691,run11-2-spot30.DTA.csv
0.0874,0.0536,0.6995,0.1595,0.6963079999999999,0.6312519206619742,run11-2-spot31.DTA.csv
0.0609,0.0549,0.6538,0.2304,0.6862723259331108,0.6362371208909935,run11-2-spot32.DTA.csv
0.0507,0.0578,0.5548,0.3367,0.6462110000000001,0.5912055,run11-2-spot33.DTA.csv
0.449,0.0801,0.4301,0.0408,0.8292769999999998,0.7977362992071118,run11-2-spot34.DTA.csv
0.0743,0.2115,0.4438,0.2703,0.6724476965298025,0.6259822499999999,run11-2-spot4.DTA.csv
0.0541,0.1918,0.3745,0.3796,0.6226635,0.5684368374783659,run11-2-spot5.DTA.csv
0.3033,0.1987,0.4302,0.0678,0.8007779312025172,0.763489311882525,run11-2-spot6.DTA.csv
0.2191,0.1881,0.4972,0.0956,0.7839649999999998,0.7500811497102823,run11-2-spot7.DTA.csv
0.1544,0.1669,0.5517,0.127,0.7497533280073767,0.7129771069353777,run11-2-spot8.DTA.csv
0.1015,0.1495,0.5707,0.1783,0.7161420000000001,0.6761692331045234,run11-2-spot9.DTA.csv
0.3194,0.3605,0.2653,0.0549,0.769047,0.7326229862376404,run9-2-spot1.DTA.csv
0.2331,0.3578,0.3196,0.0895,0.6991452175648458,0.6476722166432318,run9-2-spot10-2.DTA.csv
0.1472,0.2485,0.3952,0.2091,0.6827735718987911,0.6294876747575398,run9-2-spot10.DTA.csv
0.1189,0.2495,0.3333,0.2983,0.6614387596863157,0.5988202500000002,run9-2-spot11.DTA.csv
0.0875,0.2336,0.2712,0.4077,0.624527,0.5553626027956939,run9-2-spot12.DTA.csv
0.5202,0.203,0.2568,0.0199,0.7932060000000001,0.7597019779355211,run9-2-spot13.DTA.csv
0.3991,0.2076,0.3451,0.0482,0.7948543224139725,0.7605263868926819,run9-2-spot14.DTA.csv
0.2945,0.1966,0.4287,0.0802,0.7851694999999999,0.750683014431313,run9-2-spot15.DTA.csv
0.2084,0.1914,0.4746,0.1256,0.7636498002926251,0.7299251739507246,run9-2-spot16.DTA.csv
0.2331,0.3578,0.3196,0.0895,0.739147,0.6876715032538995,run9-2-spot17-2.DTA.csv
0.1589,0.189,0.4596,0.1924,0.7345565005968815,0.6753780087847714,run9-2-spot17.DTA.csv
0.129,0.1878,0.3963,0.2869,0.6837338103814541,0.6424592341990083,run9-2-spot18.DTA.csv
0.1015,0.1821,0.3193,0.3972,0.6223330415001009,0.5692664207942734,run9-2-spot19.DTA.csv
0.2331,0.3578,0.3196,0.0895,0.749147,0.7076730712598907,run9-2-spot2.DTA.csv
0.571,0.1548,0.2559,0.0183,0.8096732272618747,0.7779356596743123,run9-2-spot20.DTA.csv
0.4437,0.1496,0.3574,0.0492,0.8080048969215305,0.7771025215642561,run9-2-spot21.DTA.csv
0.3275,0.151,0.4458,0.0758,0.796392363026411,0.7696198394462865,run9-2-spot22.DTA.csv
0.2299,0.1456,0.5111,0.1135,0.7884027039283987,0.7573017126910083,run9-2-spot23.DTA.csv
0.1721,0.1389,0.5193,0.1697,0.8402660000000002,0.7682530256705915,run9-2-spot24.DTA.csv
0.1406,0.1429,0.4636,0.2529,0.7100885000000001,0.6731426928374261,run9-2-spot25.DTA.csv
0.1102,0.1487,0.3793,0.3618,0.6663450642244518,0.6285938997419,run9-2-spot26.DTA.csv
0.6076,0.1243,0.2557,0.0124,0.8064265000000002,0.7763125882060268,run9-2-spot27.DTA.csv
0.5015,0.1228,0.3399,0.0358,0.8082064999999998,0.77720270854878,run9-2-spot28.DTA.csv
0.1772,0.3511,0.3343,0.1374,0.7119355,0.6690646331195074,run9-2-spot3.DTA.csv
0.2616,0.1167,0.5259,0.0957,0.7977940000000001,0.7669950493005308,run9-2-spot30.DTA.csv
0.1396,0.3413,0.3158,0.2032,0.6692625000000001,0.6177307859893502,run9-2-spot4.DTA.csv
0.1026,0.3213,0.2827,0.2934,0.6149028828092008,0.5580436872122208,run9-2-spot5.DTA.csv
0.456,0.2622,0.2536,0.0282,0.7806284879613598,0.7509051038370872,run9-2-spot6.DTA.csv
0.3536,0.2671,0.3249,0.0544,0.7778260000000001,0.7420111825481703,run9-2-spot7.DTA.csv
0.2653,0.2573,0.39,0.0874,0.7689315000000001,0.7253632982175043,run9-2-spot8.DTA.csv
0.1933,0.2502,0.4159,0.1406,0.7490473068520104,0.7066515978016669,run9-2-spot9.DTA.csv
